trade_id,client_id,instrument,side,quantity,price,timestamp,order_type,venue,pnl
TRD000001,CORNERSTONE_INV_033,AUDUSD,SELL,2059043,0.70159,2025-09-03T08:34:32.524548,MARKET,LMAX,-2998
TRD000002,CORNERSTONE_INV_033,AUDUSD,BUY,4408171,0.70104,2025-09-03T08:42:32.524548,MARKET,LMAX,-3813
TRD000003,SUMMIT_ADVISORS_051,GBPUSD,BUY,4877513,1.24241,2025-09-03T08:43:32.524548,LIMIT,Currenex,-6409
TRD000004,QUANTUM_FINANCE_015,USDCHF,SELL,1501615,0.83513,2025-09-03T10:16:32.524548,MARKET,EBS,1886
TRD000005,OLYMPUS_VENTURES_024,SPX,BUY,2018428,5192.2295,2025-09-03T10:38:32.524548,LIMIT,LMAX,1814
TRD000006,ZEUS_COMM_019,AUDUSD,BUY,2119835,0.70125,2025-09-03T10:49:32.524548,LIMIT,LMAX,1485
TRD000007,ZEUS_COMM_019,GOLD,SELL,2118141,1837.81333,2025-09-03T11:01:32.524548,LIMIT,EBS,1340
TRD000008,QUANTUM_FINANCE_015,USDCHF,BUY,1037755,0.83524,2025-09-03T11:04:32.524548,LIMIT,LMAX,-1219
TRD000009,PHOENIX_CAPITAL_031,SPX,SELL,4143452,5189.45188,2025-09-03T11:19:32.524548,MARKET,LMAX,4870
TRD000010,STERLING_FX_041,USDJPY,BUY,1617712,145.55291,2025-09-03T11:42:32.524548,LIMIT,Currenex,-738
TRD000011,ZEUS_COMM_019,GOLD,BUY,3487791,1837.16448,2025-09-03T11:54:32.524548,MARKET,LMAX,-2767
TRD000012,NEXUS_CAPITAL_017,USDJPY,SELL,1893626,145.55139,2025-09-03T12:44:32.524548,LIMIT,LMAX,3120
TRD000013,SENTINEL_ASSETS_067,GBPUSD,BUY,1833067,1.24211,2025-09-03T12:48:32.524548,LIMIT,Currenex,-1822
TRD000014,ZEUS_COMM_019,AUDUSD,BUY,2295101,0.70157,2025-09-03T13:56:32.524548,MARKET,Currenex,4278
TRD000015,NEXUS_CAPITAL_017,GBPUSD,SELL,2374709,1.24241,2025-09-03T14:04:32.524548,MARKET,Currenex,-2463
TRD000016,APEX_TRADING_089,AUDUSD,SELL,4764396,0.7015,2025-09-03T14:21:32.524548,LIMIT,EBS,6503
TRD000017,SENTINEL_ASSETS_067,GBPUSD,SELL,1009853,1.2426,2025-09-03T14:51:32.524548,LIMIT,LMAX,1683
TRD000018,SENTINEL_ASSETS_067,GBPUSD,SELL,1953075,1.24222,2025-09-03T15:10:32.524548,MARKET,Currenex,-1191
TRD000019,QUANTUM_FINANCE_015,GBPUSD,SELL,2569115,1.24264,2025-09-03T15:11:32.524548,LIMIT,LMAX,4475
TRD000020,ROCKFORD_TRUST_088,USDJPY,SELL,1442437,145.5138,2025-09-03T15:12:32.524548,LIMIT,Hotspot,-713
TRD000021,SUMMIT_ADVISORS_051,AUDUSD,BUY,3351024,0.70143,2025-09-03T15:53:32.524548,LIMIT,Hotspot,4535
TRD000022,PINNACLE_WEALTH_064,GBPUSD,BUY,4371265,1.24233,2025-09-03T16:42:32.524548,MARKET,Currenex,3739
TRD000023,CORNERSTONE_INV_033,AUDUSD,SELL,3815338,0.70154,2025-09-03T16:47:32.524548,LIMIT,EBS,-4160
TRD000024,SENTINEL_ASSETS_067,GBPUSD,BUY,1272341,1.24232,2025-09-03T17:53:32.524548,MARKET,Hotspot,2292
TRD000025,SUMMIT_ADVISORS_051,AUDUSD,BUY,4308455,0.70134,2025-09-03T18:14:32.524548,LIMIT,Hotspot,6260
TRD000026,VANGUARD_MARKETS_078,GBPUSD,SELL,4479438,1.24229,2025-09-03T19:34:32.524548,LIMIT,EBS,8224
TRD000027,ATLAS_BOND_012,USDCHF,BUY,4967958,0.83542,2025-09-04T08:33:32.524548,LIMIT,Currenex,8938
TRD000028,STERLING_FX_041,AUDUSD,BUY,1838040,0.70156,2025-09-04T09:45:32.524548,LIMIT,Hotspot,995
TRD000029,ATLAS_BOND_012,EURUSD,BUY,5645146,1.07807,2025-09-04T10:26:32.524548,LIMIT,Currenex,4086
TRD000030,ATLAS_BOND_012,USDCHF,BUY,3910952,0.83534,2025-09-04T11:05:32.524548,LIMIT,Currenex,5218
TRD000031,TITAN_EQ_008,AUDUSD,BUY,1232752,0.70147,2025-09-04T11:53:32.524548,LIMIT,Hotspot,1839
TRD000032,SUMMIT_ADVISORS_051,EURUSD,BUY,3846853,1.07803,2025-09-04T12:18:32.524548,MARKET,Currenex,-2431
TRD000033,TITAN_EQ_008,AUDUSD,SELL,1451400,0.70144,2025-09-04T12:40:32.524548,LIMIT,LMAX,-1752
TRD000034,ECLIPSE_PARTNERS_092,USDJPY,BUY,3935208,145.48032,2025-09-04T14:06:32.524548,LIMIT,Hotspot,4227
TRD000035,SENTINEL_ASSETS_067,USDCHF,BUY,914318,0.83537,2025-09-04T15:41:32.524548,LIMIT,LMAX,630
